150,300,n,0,
200,300,n,0,
300,300,n,0,
327,290,n,0,
634,219,s,0,
654,219,s,0,
674,219,s,0,
252,500,n,0,
912,500,n,0,
932,500,n,0,
952,480,n,0,
972,460,n,0,
992,440,n,0,
1012,420,n,0,
1032,420,n,0,
1052,420,n,0,
1072,420,n,0,
1092,420,n,0,
1112,440,n,0,
1132,460,n,0,
1152,480,n,0,
1172,500,n,0,
1192,500,n,0,
1152,500,f,0,
1132,500,f,0,
1112,500,f,0,
1092,500,f,0,
1072,500,f,0,
1052,500,f,0,
1032,500,f,0,
1012,500,f,0,
1012,500,f,0,
992,500,f,0,
972,500,f,0,
952,500,f,0,
972,480,f,0,
992,480,f,0,
992,460,f,0,
1012,460,f,0,
1012,440,f,0,
1032,440,f,0,
1052,440,f,0,
1072,440,f,0,
1092,440,f,0,
1092,460,f,0,
1112,460,f,0,
1072,460,f,0,
1052,460,f,0,
1032,460,f,0,
1012,480,f,0,
1032,480,f,0,
1052,480,f,0,
1072,480,f,0,
1092,480,f,0,
1112,480,f,0,
1132,480,f,0,
1052,360,j,0,
1112,300,j,0,
1052,220,j,0,
1132,140,j,0,
352,440,n,0,
392,420,n,0,
492,340,j,0,
532,280,j,0,
605,442,n,0,
625,442,n,0,
698,422,n,0,
698,402,s,0,
698,382,f,0,
652,332,n,1,SO
532,160,j,1,NE
532,160,j,1,NE
532,160,j,1,SE
